degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,3,0.9947081197287911,0.9993385149660989,0.9993385149660989,0.9996692574830495,0.9995038862245742,0.9996692574830495
jpeg,3,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
noise,3,0.7957664957830329,0.9884240119067306,0.9169836282454109,0.9971886886059202,0.9446006284107822,0.9983462874152472
downres,3,0.9976848023813462,0.9996692574830495,0.9998346287415247,0.9998346287415247,0.9998346287415247,0.9998346287415247
illum,3,0.887712915495287,0.9803208202414421,0.9608070117413594,0.9973540598643955,0.9753596824871837,0.998842401190673
skew,3,0.7115925252191169,0.9928890358855631,0.8491814122705473,0.998842401190673,0.8954853646436249,0.9996692574830495
