degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,3,0.9978501736398214,0.9995038862245742,0.9996692574830495,0.9996692574830495,0.9996692574830495,0.9996692574830495
jpeg,3,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
noise,3,0.9055730114106169,0.9890854969406317,0.964775921944766,0.9985116586737225,0.9771787663304118,0.9993385149660989
downres,3,0.9983462874152472,0.9998346287415247,1.0,1.0,1.0,1.0
illum,3,0.9455928559616339,0.9897469819745328,0.9750289399702332,0.9985116586737225,0.9818091615677196,0.9991731437076237
skew,3,0.7807177112617827,0.9909045807838598,0.8974698197453282,0.9993385149660989,0.932528526542087,0.9998346287415247
