degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,3,0.9978501736398214,0.9996692574830496,0.9998346287415248,1.0,0.9998346287415248,1.0
jpeg,3,0.9985116586737224,0.9998346287415248,1.0,1.0,1.0,1.0
noise,3,0.924756077393749,0.9942120059533652,0.9763519100380352,0.9990077724491484,0.985116586737225,0.9995038862245742
downres,3,0.9985116586737224,0.9998346287415248,1.0,1.0,1.0,1.0
illum,3,0.9446006284107822,0.9914006945592856,0.9753596824871836,0.9983462874152472,0.9842897304448488,0.9990077724491484
skew,3,0.7813791962956839,0.9930544071440384,0.905738382669092,0.9998346287415248,0.9431122870845048,0.9998346287415248
