degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,3,0.9976848023813462,0.9995038862245742,0.9996692574830495,0.9998346287415247,0.9996692574830495,0.9998346287415247
jpeg,3,0.9983462874152472,0.9996692574830495,1.0,1.0,1.0,1.0
noise,3,0.8959814784190507,0.9927236646270878,0.9656027782371424,0.9990077724491483,0.9804861914999173,0.9995038862245742
downres,3,0.9985116586737225,1.0,1.0,1.0,1.0,1.0
illum,3,0.9444352571523069,0.9927236646270878,0.9776748801058376,0.9986770299321978,0.9869356705804532,0.9995038862245742
skew,3,0.8081693401686787,0.9952042335042169,0.9249214486522243,0.9995038862245742,0.9528691913345461,0.9998346287415247
