degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,3,0.9976848023813462,0.9995038862245742,0.9996692574830495,0.9998346287415247,0.9996692574830495,0.9998346287415247
jpeg,3,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
noise,3,0.894327765834298,0.9904084670084339,0.9611377542583099,0.998180916156772,0.9753596824871837,0.9993385149660989
downres,3,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
illum,3,0.9444352571523069,0.9912353233008103,0.9727137423515793,0.9973540598643955,0.9826360178600959,0.998180916156772
skew,3,0.7947742682321812,0.9960310897965934,0.9222755085166198,0.998842401190673,0.9530345625930213,0.9998346287415247
