degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,3,0.998180916156772,0.9998346287415247,1.0,1.0,1.0,1.0
jpeg,3,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
noise,3,0.8953199933851497,0.9937158921779394,0.9660988920125683,0.9990077724491483,0.9801554489829668,0.9996692574830495
downres,3,0.9985116586737225,1.0,1.0,1.0,1.0,1.0
illum,3,0.9449313709277327,0.9937158921779394,0.9751943112287085,0.9985116586737225,0.9842897304448487,0.9996692574830495
skew,3,0.8040350587067968,0.9953696047626922,0.922440879775095,0.9990077724491483,0.9543575326608236,1.0
