rank_k,SSA-Embed,siglip2_zs,clip,dinov2,donut
1,0.9556805027286258,0.8956507359021002,0.7512816272531834,0.6388291714899951,0.9631222093600132
2,0.9788324789151646,0.92541756242765,0.7999007772449148,0.6687613692740202,0.9763519100380353
3,0.9861088142880767,0.9379857780717711,0.8222258971390772,0.6806680998842402,0.9824706466016206
4,0.9894162394575823,0.9457582272201092,0.8347941127831983,0.693732429303787,0.9849512154787498
5,0.9909045807838598,0.9520423350421696,0.8445510170332396,0.7033239622953531,0.9869356705804532
6,0.9923929221101373,0.9543575326608236,0.8539771787663304,0.7119232677360675,0.9885893831652058
7,0.9928890358855631,0.9565073590210021,0.8617496279146685,0.7195303456259302,0.9895816107160575
8,0.9947081197287911,0.9594840416735572,0.8665453944104514,0.7266413097403671,0.9902430957499586
9,0.9948734909872664,0.9621299818091615,0.8711757896477592,0.7324293037870018,0.9905738382669093
10,0.9948734909872664,0.9651066644617166,0.8774598974698198,0.737886555316686,0.9912353233008103
11,0.9952042335042169,0.9660988920125683,0.8817595501901769,0.7410286092277162,0.9914006945592856
12,0.9957003472796429,0.9675872333388457,0.88655531668596,0.745659004465024,0.9918968083347114
13,0.9963618323135439,0.9699024309574996,0.8903588556308913,0.7497932859269059,0.992227550851662
14,0.9966925748304944,0.9702331734744502,0.8939970233173474,0.7544236811642137,0.9923929221101373
15,0.9971886886059202,0.9713907722837771,0.8968083347114272,0.7588887051430462,0.9927236646270878
16,0.9973540598643955,0.972548371093104,0.8992889035885563,0.7626922440879775,0.9932197784025136
17,0.9973540598643955,0.9735405986439557,0.902100214982636,0.76715726806681,0.9932197784025136
18,0.9973540598643955,0.9748635687117579,0.9049115263767157,0.7702993219778402,0.9935505209194642
19,0.9975194311228709,0.9758557962626095,0.9070613527368944,0.7729452621134447,0.9938812634364147
20,0.9975194311228709,0.9770133950719365,0.9085496940631719,0.7745989746981975,0.9942120059533653
21,0.9975194311228709,0.9771787663304118,0.9113610054572515,0.7784025136431288,0.9948734909872664
22,0.9978501736398214,0.9776748801058376,0.9118571192326773,0.7815445675541591,0.9952042335042169
23,0.9978501736398214,0.9781709938812634,0.914006945592856,0.7843558789482388,0.9953696047626922
24,0.9978501736398214,0.9783363651397388,0.9153299156606581,0.7865057053084173,0.9957003472796429
25,0.9978501736398214,0.9791632214321151,0.9159914006945593,0.7881594178931701,0.9958657185381181
26,0.9980155448982967,0.9799900777244915,0.9176451132793121,0.7909707292872499,0.9958657185381181
27,0.9980155448982967,0.9808169340168679,0.9196295683810154,0.7937820406813296,0.9958657185381181
28,0.9980155448982967,0.9819745328261948,0.9204564246733917,0.7969240945923598,0.9960310897965934
29,0.9980155448982967,0.9823052753431454,0.9214486522242434,0.7995700347279643,0.9960310897965934
30,0.9980155448982967,0.9828013891185712,0.922440879775095,0.8012237473127171,0.9961964610550686
31,0.9980155448982967,0.983297502893997,0.9237638498428973,0.8022159748635687,0.9961964610550686
32,0.9983462874152472,0.9834628741524724,0.9252521911691748,0.8042004299652721,0.9961964610550686
33,0.9985116586737225,0.9837936166694229,0.9257483049446006,0.8056887712915495,0.9961964610550686
34,0.9986770299321978,0.9847858442202745,0.9272366462708781,0.8065156275839259,0.9963618323135439
35,0.998842401190673,0.9849512154787498,0.9287249875971556,0.808996196461055,0.9963618323135439
36,0.998842401190673,0.9854473292541757,0.9292211013725814,0.8114767653381842,0.9963618323135439
37,0.9993385149660989,0.9857780717711262,0.9297172151480073,0.8132958491814123,0.9968579460889697
38,0.9995038862245742,0.9861088142880767,0.9305440714403836,0.8149495617661651,0.9968579460889697
39,0.9996692574830495,0.9861088142880767,0.9313709277327601,0.8164379030924426,0.997023317347445
40,0.9996692574830495,0.986274185546552,0.9331900115759881,0.8180916156771953,0.997023317347445
41,0.9996692574830495,0.986274185546552,0.934347610385315,0.8195799570034727,0.997023317347445
42,0.9996692574830495,0.9866049280635025,0.9353398379361667,0.8218951546221267,0.997023317347445
43,0.9996692574830495,0.987431784355879,0.9356705804531172,0.8230527534314536,0.997023317347445
44,0.9996692574830495,0.9877625268728295,0.936166694228543,0.8248718372746816,0.997023317347445
45,0.9996692574830495,0.9884240119067306,0.9374896642963453,0.8261948073424839,0.997023317347445
46,0.9996692574830495,0.9885893831652058,0.9388126343641475,0.826856292376385,0.997023317347445
47,0.9996692574830495,0.9887547544236812,0.9394741193980486,0.8285100049611378,0.997023317347445
48,0.9996692574830495,0.9894162394575823,0.9406317182073756,0.8301637175458906,0.997023317347445
49,0.9996692574830495,0.9895816107160575,0.9411278319828014,0.8309905738382669,0.997023317347445
50,0.9996692574830495,0.9895816107160575,0.9417893170167025,0.8314866876136927,0.9971886886059202
