variant,R@1,R@5,R@10,MRR
infonce_only,0.8680337357367289,0.9464197122540102,0.9642798081693401,0.9037067687234738
infonce_distill,0.9550190176947246,0.9914006945592856,0.9955349760211675,0.970249420213691
infonce_distill_matra,0.9654374069786671,0.9925582933686126,0.9952042335042169,0.9771035509184531
infonce_distill_conj,0.9621299818091615,0.9909045807838598,0.9966925748304944,0.9751591015990387
infonce_distill_baseline,0.9507193649743675,0.9895816107160575,0.9937158921779394,0.9678432862851495
all,0.9556805027286258,0.9909045807838598,0.9948734909872664,0.97164141603887
