model,micro_R@1,micro_R@5,micro_R@10,micro_MRR,micro_mAP,macro_R@1,macro_R@5,macro_R@10,macro_MRR,macro_mAP,micro_median_rank
SSA-Embed,0.9556805027286258,0.9909045807838598,0.9948734909872664,0.97164141603887,0.9716397786996772,0.9674639134571633,0.9948926927401784,0.9971706424505287,0.9801565363687531,0.9801556914301887,1.0
siglip2_zs,0.8956507359021002,0.9520423350421696,0.9651066644617166,0.9209122237182573,0.9208581915248941,0.9271344993382965,0.9709369938981058,0.9790424808376608,0.947038697080942,0.9470067183307493,1.0
clip,0.7512816272531834,0.8445510170332396,0.8774598974698198,0.7964662186930515,0.7960519718772667,0.8393789396440842,0.9093217426364751,0.9304960841566722,0.8727008323899693,0.8724811936712981,1.0
dinov2,0.6388291714899951,0.7033239622953531,0.737886555316686,0.6737764349158222,0.6725582545563608,0.771304471446249,0.8219893354066999,0.8454167935538078,0.7980482566090731,0.7973584293960961,1.0
donut,0.9631222093600132,0.9869356705804532,0.9912353233008103,0.9737416325017414,0.9737318084665845,0.9398213523435389,0.9734194622866085,0.9798812326708031,0.9549414751340942,0.9549175559478245,1.0
