genre,SSA-Embed,siglip2_zs,clip,dinov2,donut
Micro-avg R@1,0.9556805027286258,0.8956507359021002,0.7512816272531834,0.6388291714899951,0.9631222093600132
Macro-avg R@1,0.9674639134571633,0.9271344993382965,0.8393789396440842,0.771304471446249,0.9398213523435389
Genre wins (out of 7),4.0,0.0,0.0,0.0,3.0
