model,mAP,CMC@1,CMC@5,CMC@10,CMC@20
SSA-Embed,0.9716397786996772,0.9556805027286258,0.9909045807838598,0.9948734909872664,0.9975194311228709
siglip2_zs,0.9208581915248941,0.8956507359021002,0.9520423350421696,0.9651066644617166,0.9770133950719365
clip,0.7960519718772667,0.7512816272531834,0.8445510170332396,0.8774598974698198,0.9085496940631719
dinov2,0.6725582545563608,0.6388291714899951,0.7033239622953531,0.737886555316686,0.7745989746981975
donut,0.9737318084665845,0.9631222093600132,0.9869356705804532,0.9912353233008103,0.9942120059533653
