seed,R@1,R@5,R@10,MRR,mAP
mean,0.9568932252907777,0.9905187145140841,0.9951491097513919,0.9720420421108757,0.9720409505514138
std,0.0014448313127259666,0.0004161752072802677,0.00025260876991100537,0.0007776536162597134,0.0007785971705142629
