variant,blur,jpeg,noise,downres,illum,skew,hard_avg
infonce_only,0.9947081197287913,0.9985116586737224,0.7957664957830329,0.9976848023813462,0.887712915495287,0.7115925252191169,0.7983573121658122
infonce_distill,0.9976848023813462,0.9985116586737224,0.894327765834298,0.9986770299321978,0.9444352571523068,0.7947742682321812,0.8778457637395953
infonce_distill_matra,0.9978501736398214,0.9985116586737224,0.9055730114106167,0.9983462874152472,0.945592855961634,0.7807177112617827,0.8772945262113444
infonce_distill_conj,0.998180916156772,0.9985116586737224,0.8953199933851497,0.9985116586737224,0.9449313709277328,0.8040350587067968,0.8814288076732263
infonce_distill_baseline,0.9976848023813462,0.9983462874152472,0.8959814784190507,0.9985116586737224,0.9444352571523068,0.8081693401686787,0.8828620252466788
all,0.9978501736398214,0.9985116586737224,0.924756077393749,0.9985116586737224,0.9446006284107822,0.7813791962956839,0.883578634033405
