model,blur,jpeg,noise,downres,illum,skew
SSA-Embed,0.9978501736398214,0.9985116586737224,0.924756077393749,0.9985116586737224,0.9446006284107822,0.7813791962956839
siglip2_zs,0.9882586406482552,0.9985116586737224,0.6699189680833472,0.998180916156772,0.8635687117578965,0.5308417397056392
clip,0.9905738382669091,0.9983462874152472,0.7059699024309575,0.9986770299321978,0.7188688605920291,0.4668430626757069
dinov2,0.9966925748304944,0.9985116586737224,0.5629237638498429,0.9985116586737224,0.7077889862741855,0.523565404332727
donut,0.9603108979659336,0.9985116586737224,0.8066809988424012,0.9915660658177607,0.6141888539771788,0.2804696543740698
